// HSK 2012-2018/Level 1
爱	ai4
八	ba1
爸爸	ba4ba5
杯子	bei1zi5
北京	Bei3jing1
本	ben3
不	bu4
不客气	bu4//ke4qi4
菜	cai4
茶	cha2
吃	chi1
出租车	chu1zu1che1
打电话	da3 dian4hua4
大	da4
的	de5
点	dian3
电脑	dian4nao3
电视	dian4shi4
电影	dian4ying3
东西	dong1-xi1
都	dou1
读	du2
对不起	dui4bu5qi3
多	duo1
多少	duo1shao3
儿子	er2zi5
二	er4
饭店	fan4dian4
飞机	fei1ji1
分钟	fen1zhong1
高兴	gao1xing4
个	ge4
工作	gong1zuo4
狗	gou3
汉语	Han4yu3
好	hao3
号	hao4
喝	he1
和	he2
很	hen3
后面	hou4mian5
回	hui2
会	hui4
几	ji3
家	jia1
叫	jiao4
今天	jin1tian1
九	jiu3
开	kai1
看	kan4
看见	kan4//jian5
块	kuai4
来	lai2
老师	lao3shi1
了	le5
冷	leng3
里	li3
六	liu4
妈妈	ma1ma5
吗	ma5
买	mai3
猫	mao1
没关系	mei2guan1xi5
没有	mei2you5
米饭	mi3fan4
名字	ming2zi5
明天	ming2tian1
哪	na3
哪儿	na3r5
那	na4
呢	ne5
能	neng2
你	ni3
年	nian2
女儿	nü3er2
朋友	peng2you5
漂亮	piao4liang5
苹果	ping2guo3
七	qi1
前面	qian2mian4
钱	qian2
请	qing3
去	qu4
热	re4
人	ren2
认识	ren4shi5
三	san1
商店	shang1dian4
上	shang4
上午	shang4wu3
少	shao3
谁	shei2
什么	shen2me5
十	shi2
时候	shi2hou5
是	shi4
书	shu1
水	shui3
水果	shui3guo3
睡觉	shui4//jiao4
说	shuo1
四	si4
岁	sui4
他	ta1
她	ta1
太	tai4
天气	tian1qi4
听	ting1
同学	tong2xue2
喂	wei4
我	wo3
我们	wo3men5
五	wu3
喜欢	xi3huan5
下	xia4
下午	xia4wu3
下雨	xia4yu3
先生	xian1sheng5
现在	xian4zai4
想	xiang3
小	xiao3
小姐	xiao3jie5
些	xie1
写	xie3
谢谢	xie4xie5
星期	xing1qi1
学生	xue2sheng5
学习	xue2xi2
学校	xue2xiao4
一	yi1
一点儿	yi1dian3r5
衣服	yi1fu5
医生	yi1sheng1
医院	yi1yuan4
椅子	yi3zi5
有	you3
月	yue4
再见	zai4jian4
在	zai4
怎么	zen3me5
怎么样	zen3me5yang4
这	zhe4
中国	Zhong1guo2
中午	zhong1wu3
住	zhu4
桌子	zhuo1zi5
字	zi4
昨天	zuo2tian1
坐	zuo4
做	zuo4
// HSK 2012-2018/Level 2
吧	ba5
白	bai2
百	bai3
帮助	bang1zhu4
报纸	bao4zhi3
比	bi3
别	bie2
宾馆	bin1guan3
长	zhang3
唱歌	chang4//ge1
出	chu1
穿	chuan1
次	ci4
从	cong2
错	cuo4
打篮球	da3 lan2qiu2
大家	da4jia1
到	dao4
得	de2
等	deng3
弟弟	di4di5
第一	di4-yi1
懂	dong3
对	dui4
房间	fang2jian1
非常	fei1chang2
服务员	fu2wu4yuan2
高	gao1
告诉	gao4su5
哥哥	ge1ge5
给	gei3
公共汽车	gong1gong4 qi4che1
公司	gong1si1
贵	gui4
过	guo4
还	hai2
孩子	hai2zi5
好吃	hao3chi1
黑	hei1
红	hong2
火车站	huo3che1zhan4
机场	ji1chang3
鸡蛋	ji1dan4
件	jian4
教室	jiao4shi4
姐姐	jie3jie5
介绍	jie4shao4
进	jin4
近	jin4
就	jiu4
觉得	jue2de5
咖啡	ka1fei1
开始	kai1shi3
考试	kao3shi4
可能	ke3neng2
可以	ke3yi3
课	ke4
快	kuai4
快乐	kuai4le4
累	lei4
离	li2
两	liang3
零	ling2
路	lu4
旅游	lü3you2
卖	mai4
慢	man4
忙	mang2
每	mei3
妹妹	mei4mei5
门	men2
面条	mian4tiao2
男	nan2
您	nin2
牛奶	niu2nai3
女	nü3
旁边	pang2bian1
跑步	pao3//bu4
便宜	pian2yi5
票	piao4
妻子	qi1zi5
起床	qi3//chuang2
千	qian1
铅笔	qian1bi3
晴	qing2
去年	qu4nian2
让	rang4
日	ri4
上班	shang4//ban1
身体	shen1ti3
生病	sheng1//bing4
生日	sheng1ri5
时间	shi2jian1
事情	shi4qing5
手表	shou3biao3
手机	shou3ji1
说话	shuo1//hua4
送	song4
虽然…但是…	sui1ran2…dan4shi4…
它	ta1
踢足球	Ti1 zu2qiu2
题	ti2
跳舞	tiao4//wu3
外	wai4
完	wan2
玩	wan2
晚上	wan3shang5
往	wang3
为什么	wei4shen2me5
问	wen4
问题	wen4ti2
西瓜	xi1gua5
希望	xi1wang4
洗	xi3
小时	xiao3shi2
笑	xiao4
新	xin1
姓	xing4
休息	xiu1xi5
雪	xue3
颜色	yan2se4
眼睛	yan3jing5
羊肉	yang2rou4
药	yao4
要	yao4
也	ye3
一起	yi1qi3
一下	yi1xia4
已经	yi3jing1
意思	yi4si5
因为…所以…	yin1wei4…suo3yi3…
阴	yin1
游泳	you2yong3
右边	you4bian5
鱼	yu2
远	yuan3
运动	yun4dong4
再	zai4
早上	zao3shang5
丈夫	zhang4fu1
找	zhao3
着	zhe5
真	zhen1
正在	zheng4zai4
知道	zhi1dao5
准备	zhun3bei4
走	zou3
最	zui4
左边	zuo3bian5
// HSK 2012-2018/Level 3
阿姨	a1yi2
啊	a5
矮	ai3
爱好	ai4hao4
安静	an1jing4
把	ba3
班	ban1
搬	ban1
办法	ban4fa3
办公室	ban4gong1shi4
半	ban4
帮忙	bang1//mang2
包	bao1
饱	bao3
北方	bei3fang1
被	bei4
鼻子	bi2zi5
比较	bi3jiao4
比赛	bi3sai4
笔记本	bi3ji4ben3
必须	bi4xu1
变化	bian4hua4
别人	bie2ren5
冰箱	bing1xiang1
不但…而且…	bu4dan4…er2qie3…
菜单	cai4dan1
参加	can1jia1
草	cao3
层	ceng2
差	cha4
超市	chao1shi4
衬衫	chen4shan1
成绩	cheng2ji4
城市	cheng2shi4
迟到	chi2//dao4
除了	chu2le5
船	chuan2
春	chun1
词典	ci2dian3
聪明	cong1ming5
打扫	da3sao3
打算	da3suan5
带	dai4
担心	dan1//xin1
蛋糕	dan4gao1
当然	dang1ran2
地	de5
灯	deng1
地方	di4fang1
地铁	di4tie3
地图	di4tu2
电梯	dian4ti1
电子邮件	dian4zi3you2jian4
东	dong1
冬	dong1
动物	dong4wu4
短	duan3
段	duan4
锻炼	duan4lian4
多么	duo1me5
饿	e4
耳朵	er3duo5
发	fa1
发烧	fa1shao1
发现	fa1xian4
方便	fang1bian4
放	fang4
放心	fang4//xin1
分	fen1
附近	fu4jin4
复习	fu4xi2
干净	gan1jing4
感冒	gan3mao4
感兴趣	gan3 xing4qu4
刚才	gang1cai2
个子	ge4zi5
根据	gen1ju4
跟	gen1
更	geng4
公斤	gong1jin1
公园	gong1yuan2
故事	gu4shi5
刮风	gua1feng1
关	guan1
关系	guan1xi5
关心	guan1xin1
关于	guan1yu2
国家	guo2jia1
过	guo4
过去	guo4//qu5
还是	hai2shi5
害怕	hai4pa4
黑板	hei1ban3
后来	hou4lai2
护照	hu4zhao4
花	hua1
画	hua4
坏	huai4
欢迎	huan1ying2
还	hai2
环境	huan2jing4
换	huan4
黄河	Huang2 He2
回答	hui2da2
会议	hui4yi4
或者	huo4zhe3
几乎	ji1hu1
机会	ji1hui5
极	ji2
记得	ji4//de5
季节	ji4jie2
检查	jian3cha2
简单	jian3dan1
见面	jian4//mian4
健康	jian4kang1
讲	jiang3
教	jiao4
角	jiao3
脚	jiao3
接	jie1
街道	jie1dao4
节目	jie2mu4
节日	jie2ri4
结婚	jie2//hun1
结束	jie2shu4
解决	jie3jue2
借	jie4
经常	jing1chang2
经过	jing1guo4
经理	jing1li3
久	jiu3
旧	jiu4
句子	ju4zi5
决定	jue2ding4
可爱	ke3ai4
渴	ke3
刻	ke4
客人	ke4ren5
空调	kong1tiao2
口	kou3
哭	ku1
裤子	ku4zi5
筷子	kuai4zi5
蓝	lan2
老	lao3
离开	li2//kai1
礼物	li3wu4
历史	li4shi3
脸	lian3
练习	lian4xi2
辆	liang4
聊天	liao2tian1
了解	liao3jie3
邻居	lin2ju1
留学	liu2//xue2
楼	lou2
绿	lü4
马	ma3
马上	ma3shang4
满意	man3yi4
帽子	mao4zi5
米	mi3
面包	mian4bao1
明白	ming2bai5
拿	na2
奶奶	nai3nai5
南	nan2
难	nan2
难过	nan2guo4
年级	nian2ji2
年轻	nian2qing1
鸟	niao3
努力	nu3li4
爬山	pa2shan1
盘子	pan2zi5
胖	pang4
皮鞋	pi2xie2
啤酒	pi2jiu3
瓶子	ping2zi5
其实	qi2shi2
其他	qi2ta1
奇怪	qi2guai4
骑	qi2
